,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,MC1,MC2,MC3,MC4,MC5,MC6,MC7,MC8
FP,0,0.000474399,0.000712493,0.000304126,0.000485844,0.000141011,0.000240581,NA,0.00139796,0.001238019,0.000413948,0.00043513,0.000473452,0.000870961,0.000294461,0.000294636,0.001335072,NA,0.000947751,0.000630693,0.002436613,0.001370818,0.000522737,0.001592153,0.000468101,0.000480264,0.001019258,0.001573806,0.001491943,0.000774817,0.000736615,0.000731196,0.000894502,0.001282785,0.000562309,0.000231418,0.00143662,0.00174637,0.002502731,0.000738641
M1,0.000178411,0.000580745,0.000592611,0.000339581,0.000663748,5.86E-05,0.000130165,0.000340731,0.00081656,0.000709115,0.000505437,0.00107946,0.000327879,0.001158047,0.000257619,0.000614331,0.000969328,0.000694021,0.00083684,0.000597126,0.001705397,0.001259392,0.000720181,0.001085377,0.000484096,0.000348284,0.000624772,0.001551409,0.001081342,0.000891548,0.000683339,0.00053039,0.000893405,0.001076119,0.000315035,0.00034219,0.001487941,0.00180125,0.002166774,0.000740715
M2,0.000137103,0.000496209,0.000563559,0.00027877,0.000711478,0.000106907,0.000236081,0.000338214,0.000910494,0.000802708,0.000427216,0.00071088,0.000337079,0.000981638,0.000312332,0.000665146,0.001073453,0.000709473,0.000728179,0.000615573,0.00173596,0.001182386,0.000583888,0.001188072,0.00049708,0.000402584,0.000585953,0.001315795,0.001084622,0.000961374,0.000731507,0.000535356,0.000920545,0.001098356,0.000426344,0.00033753,0.001232044,0.001702985,0.002142529,0.000646361
S1,0.000120586,0.000961846,0.001242109,0.000687338,0.001113037,0.000119841,0.000247589,0.000372003,0.000738539,0.000897565,0.000765354,0.001614189,0.000310421,0.001788991,0.000502635,0.000996051,0.001472287,0.001042045,0.001229704,0.00063601,0.002249009,0.001638381,0.00131326,0.001899497,0.000907441,0.000788894,0.000785677,0.001814969,0.001686692,0.001038645,0.001150051,0.000674796,0.001532251,0.001700673,0.000347278,0.000465907,0.001568288,0.002299682,0.002379603,0.001094417
SS,0.000207683,0.001007529,0.00110232,0.000554608,0.001065504,0.000108787,0.000187376,0.000318891,0.00064191,0.000787501,0.000636668,0.001579343,0.00031854,0.001541253,0.000471479,0.000815911,0.001133741,0.001073822,0.00109863,0.000498944,0.002059289,0.001506328,0.000966372,0.001211308,0.00074302,0.000648043,0.000738072,0.001450295,0.001481858,0.000760478,0.000944681,0.000570294,0.00110667,0.001356975,0.000303566,0.00050168,0.001527393,0.002046831,0.002207157,0.000756846
GA,0.000167016,0.000569431,0.000628445,0.000301734,0.000626065,0.000118095,0.000125244,0.000294915,0.000592521,0.000590116,0.000439358,0.000844568,0.000306149,0.000802865,0.000359876,0.000613393,0.000811483,0.000652858,0.000858433,0.000608866,0.001535186,0.0009769,0.000445821,0.000734849,0.000557395,0.000469172,0.000440403,0.001068909,0.000808117,0.000476737,0.000628569,0.000374413,0.001022884,0.001023754,0.000425875,0.000399311,0.001053395,0.001558007,0.001817007,0.000797534
VA,0.000231094,0.000590318,0.000706854,0.000364085,0.000719461,0.000163011,0.000129441,0.000275316,0.00051822,0.000628959,0.000537215,0.000991554,0.000271753,0.000749432,0.000330092,0.000529119,0.000807083,0.00079006,0.000729241,0.000412497,0.001667441,0.001213945,0.000482,0.000703774,0.000412805,0.000332302,0.000523299,0.001089365,0.001148898,0.000443075,0.000675828,0.000448708,0.000821435,0.001022565,0.00031009,0.000417137,0.001146935,0.001723411,0.001683865,0.000616832
AuA,0.000298505,0.000837757,0.000637248,0.000520158,0.000914004,0.000162473,0.000196226,0.000266423,0.000348187,0.000443258,0.000496706,0.001213361,0.000345341,0.000851186,0.000494975,0.000932948,0.001348376,0.001272482,0.001011683,0.000756226,0.001773316,0.00145016,0.000986026,0.001727595,0.000556509,0.000604102,0.000551607,0.00083557,0.000692485,0.000339448,0.000858221,0.00068956,0.000971944,0.001282291,0.000488539,0.000311631,0.000859875,0.001492811,0.002144678,0.000812958
ViA,0.000202964,0.000863201,0.001339306,0.000582761,0.000995054,0.000298216,0.000363525,0.000266911,0.000654817,0.000814714,0.000784195,0.001405731,0.000283092,0.001187181,0.000810378,0.001505021,0.001550498,0.001538643,0.001707852,0.001023882,0.002107068,0.002222861,0.001626863,0.002784271,0.000839114,0.000824496,0.000970013,0.001265177,0.000975091,0.000812261,0.001059701,0.001213814,0.00159089,0.001489887,0.000419342,0.000368373,0.001308883,0.00266253,0.002540368,0.001164631
dACC,0.000134536,0.000419297,0.00050468,0.000404052,0.000807083,0.000154571,0.000311197,0.000339624,0.000758618,0.00083554,0.000583113,0.000449169,0.00029977,0.000834442,0.000653997,0.000975411,0.001392811,0.000939786,0.000892944,0.000922057,0.001916804,0.001425214,0.001033138,0.001335952,0.000682947,0.000717394,0.000483,0.001069012,0.000906527,0.000950341,0.001050551,0.000640976,0.001277147,0.00130346,0.000725583,0.000593773,0.0010429,0.001553623,0.002048961,0.001007939
Vacc,0.000210697,0.000427811,0.000469597,0.000516647,0.000746854,0.00023825,0.000488414,0.000349245,0.000731892,0.000783504,0.000725384,0.000396498,0.000369889,0.000808249,0.000994123,0.000993057,0.001327857,0.000933402,0.000791201,0.00093436,0.001660602,0.001352558,0.001233623,0.001636456,0.000780938,0.000790352,0.000521994,0.001039932,0.000775961,0.000864215,0.000929857,0.000711453,0.001252323,0.001412337,0.000745857,0.000643097,0.000986854,0.001506037,0.001740613,0.001033314
PL,0.000368595,0.000476512,0.000444413,0.000446599,0.000829118,0.000219788,0.000502674,NA,0.000943443,0.000969475,0.000632996,0.000564563,0.000331812,0.000664613,0.000755219,0.000974151,0.001360068,0.001222886,0.001200389,0.00100056,0.002154019,0.001388218,0.000930788,0.001475203,0.000795903,0.000779076,0.000893433,0.001498177,0.000996762,0.000944721,0.001104243,0.000589686,0.001384196,0.001720235,0.000802721,0.00055941,0.001369398,0.001636759,0.001951754,0.001324371
IL,0.000585641,0.000584423,0.000441848,0.000550787,0.000795042,0.000300776,0.000667955,NA,0.001043268,0.000979805,0.00089853,0.000568173,0.000350138,0.000556189,0.000773475,0.000822386,0.001145298,0.00134472,0.001105775,0.000972594,0.002050862,0.001156577,0.000761101,0.001302381,0.000814919,0.000739974,0.000952932,0.001272951,0.000853134,0.00085175,0.000954942,0.000448025,0.000970372,0.001583244,0.000853344,0.000432162,0.001235577,0.001683243,0.001637474,0.001281816
OA,0.000213032,0.000813036,0.000802613,0.000632942,0.000625449,0.000200866,0.00030293,NA,0.001351915,0.001272352,0.000665477,0.000731748,0.000581548,0.001095047,0.000524068,0.000705125,0.001658996,0.001018446,0.00130419,0.00084143,0.001891617,0.002089539,0.000822301,0.002330138,0.000748603,0.000564523,0.000751571,0.001478601,0.001296974,0.000864204,0.001105934,0.000740011,0.001674201,0.001544352,0.000551547,0.000217098,0.001374505,0.002408848,0.002443158,0.000789105
AU,0.000207059,0.000481703,0.000514432,0.000321797,0.000555574,0.00017106,0.000175594,0.000304997,0.000673007,0.000737333,0.000456462,0.000531443,0.000285114,0.000602048,0.000317172,0.000443854,0.000863897,0.000590837,0.000635805,0.000520283,0.001306781,0.001185451,0.000358825,0.001045596,0.000343744,0.000299549,0.00046431,0.000816328,0.000675923,0.000429898,0.000604255,0.000456953,0.000762938,0.000929614,0.000415742,0.000285309,0.000901583,0.001440431,0.001676493,0.000602519
